gene_names	gene_types	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8
ENSG00000041988	hk_gene	612	433	596	611	457	438	644	479
ENSG00000007923	hk_gene	2405	1973	2952	2347	2663	2257	4876	3331
ENSG00000171735	hk_gene	7232	5050	7201	7842	6246	5748	7690	7821
ENSG00000049245	hk_gene	1193	1063	1214	1153	1073	1020	1555	1299
ENSG00000049246	hk_gene	110	75	87	140	148	114	88	55
ENSG00000049247	hk_gene	13	0	0	1	0	1	0	0
ENSG00000116288	hk_gene	27985	24146	32119	34867	25985	27025	35331	32489
ENSG00000116285	hk_gene	763	515	360	455	289	288	260	332
ENSG00000162426	hk_gene	32	38	24	40	12	24	23	29
ENSG00000142599	hk_gene	1635	1464	1522	1626	1226	1239	764	710
ENSG00000074800	hk_gene	86006	87646	104980	125655	92295	87849	119852	110081
ENSG00000180758	hk_gene	53	17	43	79	19	37	33	57
ENSG00000049239	non_hk_gene	75	34	61	96	29	100	130	156
ENSG00000171621	hk_gene	51	21	12	20	18	9	12	19
ENSG00000171612	non_hk_gene	323	249	329	361	368	307	434	384
ENSG00000188807	non_hk_gene	335	346	356	321	327	270	475	339
ENSG00000171608	hk_gene	269	168	153	224	128	179	153	179
ENSG00000171603	hk_gene	1021	676	700	657	602	613	763	659
ENSG00000178585	hk_gene	450	346	449	412	321	370	427	521
ENSG00000162441	non_hk_gene	760	722	936	1210	1060	808	1163	1185
ENSG00000173614	non_hk_gene	132	115	157	194	149	129	505	285
ENSG00000162444	hk_gene	81	76	56	118	64	72	58	81
ENSG00000130939	hk_gene	1974	1660	2047	2090	1678	1582	1887	1835
ENSG00000054523	hk_gene	1875	1641	1772	1811	1525	1756	1901	1635
ENSG00000142657	non_hk_gene	9791	10172	13180	14495	13035	11162	14944	14819
ENSG00000175279	non_hk_gene	153	165	177	148	161	155	186	179
ENSG00000160049	hk_gene	4564	4365	4986	6540	4181	4260	7700	7395
ENSG00000142655	hk_gene	242	238	318	316	207	197	310	269
ENSG00000130940	hk_gene	79	40	37	58	27	39	17	35
ENSG00000175262	hk_gene	1	3	4	0	0	1	0	1
ENSG00000120948	hk_gene	8246	7975	11440	11967	10038	8988	10649	10869
ENSG00000009724	non_hk_gene	2	9	2	11	6	4	29	4
ENSG00000116649	hk_gene	1539	1362	1673	1184	1426	1238	2344	1255
ENSG00000171824	hk_gene	2531	2627	3061	3501	2414	2583	3747	3494
ENSG00000198793	hk_gene	1338	986	1378	1176	934	998	1236	987
ENSG00000120942	hk_gene	1326	1304	1622	1454	1433	1176	2019	1512
ENSG00000204624	hk_gene	43	40	59	25	31	35	28	37
ENSG00000116661	hk_gene	304	160	128	165	103	118	165	117
ENSG00000132879	hk_gene	372	502	583	680	355	365	507	557
ENSG00000116663	hk_gene	19	3	18	12	1	11	18	17
ENSG00000116670	hk_gene	7678	7180	8555	8140	8318	6843	8539	7824
ENSG00000162490	hk_gene	1413	1239	1350	1278	1204	1113	1161	913
ENSG00000177674	hk_gene	3717	3256	3572	4800	3072	3101	3420	3978
ENSG00000215910	hk_gene	83	38	50	18	15	10	67	64
ENSG00000177000	non_hk_gene	290	325	489	374	379	338	559	409
ENSG00000011021	non_hk_gene	317	384	519	466	560	442	738	556
ENSG00000120937	hk_gene	1	0	0	5	1	2	1	0
ENSG00000116685	hk_gene	474	413	424	487	397	313	539	411
ENSG00000083444	hk_gene	811	724	969	1005	827	842	854	1006
ENSG00000116688	non_hk_gene	1299	1304	1676	1545	1360	1397	2392	1746
ENSG00000116691	hk_gene	2834	2476	3721	2775	3134	2546	4549	2662
ENSG00000120949	hk_gene	675	503	637	494	455	364	411	214
ENSG00000028137	hk_gene	71	39	49	68	61	60	17	61
ENSG00000048707	hk_gene	412	312	393	439	272	314	328	382
ENSG00000162496	non_hk_gene	532	487	902	686	837	619	966	563
ENSG00000188984	hk_gene	0	3	1	8	2	0	0	0
ENSG00000179172	hk_gene	36	34	38	352	239	274	53	56
ENSG00000162494	hk_gene	3	1	9	2	3	4	0	4
ENSG00000162493	hk_gene	3347	2942	2874	2904	2324	1950	2376	2114
ENSG00000116731	non_hk_gene	257	199	289	234	185	239	300	229
ENSG00000189337	hk_gene	217	110	147	176	161	169	74	120
ENSG00000171729	hk_gene	222	146	174	142	116	114	83	111
ENSG00000204464	hk_gene	0	2	2	3	9	7	0	3
ENSG00000142621	hk_gene	49	42	79	59	25	67	48	70
ENSG00000142634	hk_gene	206	156	204	150	158	138	171	194
ENSG00000132906	hk_gene	754	659	862	722	680	596	793	744
ENSG00000116138	hk_gene	500	366	542	492	485	352	615	435
ENSG00000116771	hk_gene	118	133	171	102	95	91	132	128
ENSG00000197312	hk_gene	1477	1284	1261	1355	1131	1108	1577	1314
ENSG00000116786	hk_gene	562	390	582	433	440	380	560	490
ENSG00000162461	hk_gene	0	6	23	14	2	5	2	11
ENSG00000162460	non_hk_gene	16	25	30	6	13	22	27	10
ENSG00000162458	hk_gene	1397	1130	1423	1049	941	907	1025	982
ENSG00000065526	hk_gene	1119	719	814	796	671	732	1018	705
ENSG00000116809	hk_gene	306	307	329	227	239	216	357	228
ENSG00000183888	hk_gene	2	0	1	2	1	0	0	6
ENSG00000173641	hk_gene	0	1	3	1	3	0	0	0
ENSG00000186510	hk_gene	16	17	1	18	6	6	1	1
ENSG00000184908	hk_gene	18	12	10	35	11	18	4	12
ENSG00000185519	hk_gene	4	3	0	2	1	4	0	4
ENSG00000142627	hk_gene	453	296	256	443	238	289	178	252
ENSG00000142632	hk_gene	825	643	616	623	375	395	375	492
ENSG00000204377	non_hk_gene	16	2	18	14	20	28	10	11
ENSG00000132881	non_hk_gene	20	7	16	16	22	19	27	8
ENSG00000037637	hk_gene	778	699	828	792	732	663	811	753
ENSG00000055070	hk_gene	1178	1232	1934	1806	1744	1366	2724	2005
ENSG00000187144	hk_gene	40	28	30	48	28	37	46	25
ENSG00000157191	non_hk_gene	1525	1412	1845	1727	1618	1445	2015	2087
ENSG00000219481	hk_gene	858	704	1280	768	736	566	1343	1058
ENSG00000058453	non_hk_gene	179	126	217	138	188	150	283	151
ENSG00000117122	hk_gene	14720	14540	19572	16349	14414	12315	16705	17495
ENSG00000159363	hk_gene	350	330	391	257	257	240	426	222
ENSG00000117118	hk_gene	3240	2931	3186	3655	2699	2715	3494	3189
ENSG00000117115	hk_gene	108	83	120	120	61	66	55	71
ENSG00000142623	hk_gene	12	9	14	6	10	17	0	2
ENSG00000142619	non_hk_gene	16	27	16	28	22	18	13	61
ENSG00000159339	non_hk_gene	14	2	5	17	5	12	19	12
ENSG00000179051	hk_gene	7317	6865	8723	8278	7861	6743	8238	7426
ENSG00000074964	hk_gene	510	349	477	283	309	289	302	350
ENSG00000117148	non_hk_gene	29	6	32	25	36	27	20	12
ENSG00000117154	hk_gene	235	134	131	115	101	116	99	76
ENSG00000179023	hk_gene	1286	930	798	335	226	237	482	329
ENSG00000009709	hk_gene	0	3	4	10	12	3	0	1
ENSG00000159423	non_hk_gene	342	348	678	584	559	566	649	623
ENSG00000169991	hk_gene	144	136	94	200	98	81	145	184
ENSG00000127481	hk_gene	3012	2588	2773	3202	2167	2694	2888	2224
ENSG00000127463	hk_gene	1734	1810	2220	2312	1902	1617	2338	1949
ENSG00000053372	hk_gene	5240	5817	6911	6943	6919	5548	9962	7454
ENSG00000162482	hk_gene	0	3	1	2	2	1	4	4
ENSG00000053371	hk_gene	247	145	175	135	157	192	332	263
ENSG00000040487	hk_gene	171	197	200	124	169	140	269	157
ENSG00000077549	hk_gene	5706	4675	6153	6981	5775	5213	7321	6943
ENSG00000270136	non_hk_gene	589	447	633	687	580	573	726	650
ENSG00000173436	hk_gene	201	210	131	159	169	151	122	141
ENSG00000158747	hk_gene	25	20	7	31	20	19	4	15
ENSG00000158748	hk_gene	7	0	2	2	1	0	1	3
ENSG00000162542	hk_gene	148	147	139	84	59	66	54	70
ENSG00000169914	hk_gene	161	136	197	181	117	169	204	155
ENSG00000188257	hk_gene	60	41	66	63	62	68	39	29
ENSG00000162543	non_hk_gene	83	97	130	95	88	95	98	96
ENSG00000158816	hk_gene	4	12	9	21	4	8	2	0
ENSG00000162545	hk_gene	93	62	62	71	65	62	54	60
ENSG00000090432	hk_gene	915	796	1088	1051	876	810	1583	1462
ENSG00000183114	hk_gene	14	19	15	22	17	19	8	10
ENSG00000158825	hk_gene	708	521	432	432	275	276	242	375
ENSG00000158828	hk_gene	251	197	171	177	131	164	148	134
ENSG00000244038	hk_gene	15762	15762	17653	25064	16996	15184	31258	27402
ENSG00000117245	non_hk_gene	122	69	125	95	136	110	153	189
ENSG00000189410	hk_gene	369	226	292	272	233	246	268	323
ENSG00000127483	hk_gene	1799	1614	2163	1654	1675	1659	2842	2369
ENSG00000075151	hk_gene	2564	1508	1779	2046	1438	1515	2243	2107
ENSG00000117298	non_hk_gene	954	611	803	661	699	682	875	777
ENSG00000142794	hk_gene	175	174	252	271	170	153	248	287
ENSG00000162551	hk_gene	2616	2406	3523	1969	2619	2289	2524	2069
ENSG00000076864	hk_gene	152	113	98	86	67	82	123	98
ENSG00000090686	hk_gene	1908	1261	2083	1570	1355	1169	1878	1659
ENSG00000187942	hk_gene	12	13	11	6	4	12	21	17
ENSG00000142798	hk_gene	272	135	287	197	133	176	233	181
ENSG00000070831	hk_gene	3852	3380	3819	4766	3514	3283	4930	4759
ENSG00000162552	hk_gene	9	7	27	7	6	11	23	8
ENSG00000184677	hk_gene	444	357	492	495	366	353	467	340
ENSG00000070886	hk_gene	139	62	98	65	35	57	46	57
ENSG00000133216	hk_gene	565	375	563	486	401	568	249	471
ENSG00000004487	hk_gene	4651	3227	3393	3363	2593	2979	3125	3176
ENSG00000169641	hk_gene	3332	2460	2678	3277	2722	2685	2875	2716
ENSG00000179546	hk_gene	57	167	144	77	105	87	8	22
ENSG00000125944	hk_gene	9455	7764	10158	9629	9723	8139	14450	11820
ENSG00000125945	non_hk_gene	24	20	31	27	43	25	16	30
ENSG00000249087	hk_gene	0	0	1	0	1	0	0	3
ENSG00000204219	hk_gene	0	0	1	5	0	3	1	3
ENSG00000088280	hk_gene	476	368	314	575	354	414	375	503
ENSG00000007968	hk_gene	103	101	92	52	67	39	90	145
ENSG00000117318	hk_gene	22682	15013	31204	17334	22051	20245	15333	25466
ENSG00000142676	hk_gene	44006	43210	50854	57465	44487	43922	59488	54810
ENSG00000011007	hk_gene	2846	2367	2863	3110	2778	2441	4443	3184
ENSG00000057757	hk_gene	1145	851	979	880	886	728	1237	990
ENSG00000011009	hk_gene	6696	6645	8111	9358	7397	7386	9369	8691
ENSG00000117308	hk_gene	1946	1556	1772	1440	1005	1154	1220	1125
ENSG00000117305	hk_gene	736	537	643	860	501	554	864	884
ENSG00000179163	non_hk_gene	162	101	143	122	145	105	233	157
ENSG00000188822	hk_gene	49	31	21	26	12	10	15	17
ENSG00000189266	hk_gene	5104	4297	5646	7144	4888	4247	6780	5665
ENSG00000188529	hk_gene	12564	12170	15051	14657	12684	10060	15842	13397
ENSG00000142661	hk_gene	0	4	1	7	0	7	5	0
ENSG00000142677	hk_gene	6	11	5	10	1	10	2	1
ENSG00000185436	hk_gene	163	130	203	234	177	134	164	150
ENSG00000158055	hk_gene	1	17	34	15	6	13	9	4
ENSG00000001460	hk_gene	632	524	587	842	458	443	421	524
ENSG00000001461	hk_gene	570	443	501	420	376	297	471	309
ENSG00000117602	hk_gene	433	286	328	346	273	291	236	248
ENSG00000184454	hk_gene	12	0	2	5	9	4	0	8
ENSG00000133226	hk_gene	12509	9108	12343	11295	9885	9008	14448	12377
ENSG00000169504	hk_gene	6130	5112	5829	5938	4987	4630	5592	6189
ENSG00000020633	hk_gene	12	5	13	4	5	9	1	0
ENSG00000117614	hk_gene	2975	2640	3437	3449	3051	2633	3647	3482
ENSG00000117616	hk_gene	482	398	658	580	391	440	448	426
ENSG00000187010	hk_gene	1	0	8	1	0	0	5	0
ENSG00000183726	hk_gene	6749	4791	5426	5668	5053	4386	7624	6624
ENSG00000188672	hk_gene	4	1	2	0	0	1	0	3
ENSG00000204178	hk_gene	481	206	324	307	187	210	403	309
ENSG00000157978	non_hk_gene	394	254	461	346	346	343	502	421
ENSG00000117643	hk_gene	185	113	161	119	113	90	107	115
ENSG00000162430	non_hk_gene	532	378	586	532	407	497	638	555
ENSG00000117640	hk_gene	835	778	1048	1181	874	641	998	1256
ENSG00000223474	hk_gene	7	0	1	0	0	0	0	8
ENSG00000127423	non_hk_gene	489	408	552	480	379	468	593	560
ENSG00000182749	non_hk_gene	60	33	16	66	21	35	63	81
ENSG00000117632	hk_gene	38724	36140	40385	38436	29147	29858	25665	38758
ENSG00000158006	non_hk_gene	412	395	496	477	553	454	570	519
ENSG00000158008	hk_gene	5	10	10	2	5	3	5	16
ENSG00000158014	non_hk_gene	0	4	2	0	4	6	9	4
ENSG00000158022	hk_gene	0	0	2	1	0	0	3	3
ENSG00000175087	non_hk_gene	49	32	65	66	32	41	91	80
ENSG00000197245	hk_gene	20	13	19	21	21	15	4	13
ENSG00000142684	hk_gene	3220	3030	3609	2372	2616	2273	3046	2736
ENSG00000142675	hk_gene	301	321	443	235	196	229	408	306
ENSG00000188782	hk_gene	40	41	25	22	19	18	14	16
ENSG00000130695	hk_gene	894	828	936	1229	817	792	1182	1119
ENSG00000142669	hk_gene	10571	10718	14071	16744	11351	11487	11773	14012
ENSG00000158062	non_hk_gene	213	289	351	364	395	337	604	347
ENSG00000169442	non_hk_gene	48	57	52	51	47	61	53	70
ENSG00000176092	non_hk_gene	168	162	214	307	233	246	185	257
ENSG00000131914	hk_gene	17826	15994	19004	21068	17658	13780	21933	17046
ENSG00000117682	non_hk_gene	1020	1269	1416	1932	1452	1422	1995	1989
ENSG00000198830	hk_gene	23694	27646	37492	33272	30596	22451	48000	42228
ENSG00000117676	hk_gene	771	574	569	632	553	540	541	608
ENSG00000117713	hk_gene	3061	2368	2970	2594	2474	2437	2979	2557
ENSG00000060642	hk_gene	192	128	204	185	181	144	178	157
ENSG00000204160	hk_gene	564	446	416	434	303	310	404	419
ENSG00000175793	hk_gene	53	37	39	38	33	27	15	21
ENSG00000142751	hk_gene	797	709	881	740	1040	724	1150	742
ENSG00000198746	non_hk_gene	416	422	586	446	443	375	818	542
ENSG00000090273	hk_gene	8652	5924	8370	6199	8485	6560	11464	6854
ENSG00000175707	hk_gene	691	712	932	1002	693	620	612	626
ENSG00000253368	hk_gene	602	350	407	454	328	355	359	264
ENSG00000158246	hk_gene	1686	1185	1487	1282	1057	984	1349	782
ENSG00000090020	non_hk_gene	253	216	275	274	231	241	354	224
ENSG00000142784	hk_gene	94	71	135	161	100	88	109	153
ENSG00000186501	hk_gene	1105	1420	1700	1824	1365	1408	2196	1910
ENSG00000142765	hk_gene	31	55	30	48	23	27	68	35
ENSG00000142733	non_hk_gene	77	42	64	37	40	46	53	57
ENSG00000174950	hk_gene	19	15	8	15	10	8	12	16
ENSG00000181773	non_hk_gene	185	93	119	152	115	116	168	169
ENSG00000158195	non_hk_gene	1977	1298	1584	1716	1393	1616	2334	1937
ENSG00000126705	hk_gene	258	172	211	308	204	210	150	186
ENSG00000000938	hk_gene	18	19	9	19	4	18	3	4
ENSG00000126709	hk_gene	212	159	197	128	167	103	207	152
ENSG00000009780	hk_gene	320	293	300	295	235	241	330	239
ENSG00000117758	hk_gene	454	328	425	493	322	289	356	318
ENSG00000117751	hk_gene	785	791	920	709	887	723	894	818
ENSG00000130775	hk_gene	256	271	226	281	253	222	203	337
ENSG00000117748	hk_gene	5784	6228	8214	8375	7935	7036	11250	9678
ENSG00000130768	hk_gene	3585	4037	4223	4985	3595	3176	2984	3225
ENSG00000158156	non_hk_gene	223	182	234	203	210	188	256	195
ENSG00000158161	non_hk_gene	568	603	713	768	710	627	706	704
ENSG00000169403	hk_gene	72	86	98	54	45	67	104	68
ENSG00000126698	hk_gene	9124	8469	9879	12436	9917	8083	14097	12282
ENSG00000269804	non_hk_gene	10	7	20	2	10	8	7	7
ENSG00000130770	hk_gene	25688	22214	27698	26315	21565	20764	27565	23137
ENSG00000130766	hk_gene	609	346	519	607	286	442	288	366
ENSG00000130772	non_hk_gene	620	454	629	640	608	507	812	661
ENSG00000204138	hk_gene	1416	1527	1711	1825	1550	1502	1901	1797
ENSG00000180198	hk_gene	7586	6453	6997	9134	6836	5834	9044	8300
ENSG00000180098	hk_gene	1320	1308	1898	1600	1635	1430	2312	2007
ENSG00000120656	hk_gene	1434	1090	1667	1392	1315	1100	1979	1775
ENSG00000188060	hk_gene	231	218	138	221	131	156	177	142
ENSG00000162419	hk_gene	1297	1159	1149	1081	927	944	1259	1273
ENSG00000198492	hk_gene	8154	7992	9949	8074	8524	7233	10453	10554
ENSG00000116329	hk_gene	0	0	0	4	0	2	11	0
ENSG00000159023	hk_gene	519	427	672	413	454	487	513	483
ENSG00000253304	hk_gene	23	14	20	23	11	19	9	5
ENSG00000116350	hk_gene	2330	1356	1587	1517	1596	1324	2783	1890
ENSG00000116353	hk_gene	1038	846	1033	858	686	669	1088	1065
ENSG00000060656	hk_gene	341	285	425	303	259	247	316	460
ENSG00000162510	hk_gene	0	0	0	6	0	1	1	1
ENSG00000162511	hk_gene	2	3	9	4	0	3	1	7
ENSG00000162512	non_hk_gene	399	244	346	286	302	295	504	494
ENSG00000134644	hk_gene	4005	4010	4460	5189	3721	3787	4208	4612
ENSG00000084628	non_hk_gene	719	482	701	557	529	645	749	798
ENSG00000060688	hk_gene	5789	5011	6286	7001	7017	5979	10277	7833
ENSG00000121766	hk_gene	5410	4894	6283	6876	5896	4861	7877	6644
ENSG00000121769	hk_gene	1143	1352	1977	1051	1456	1440	944	951
ENSG00000168528	hk_gene	318	259	413	327	237	275	332	379
ENSG00000142910	hk_gene	119	60	31	87	69	60	28	28
ENSG00000121764	hk_gene	0	0	2	0	6	0	0	4
ENSG00000162517	non_hk_gene	1343	1501	2481	2313	1691	1665	3185	2596
ENSG00000084636	hk_gene	68	94	87	48	112	69	65	28
ENSG00000121753	hk_gene	236	228	180	216	138	115	114	170
ENSG00000134668	non_hk_gene	42	29	27	6	12	14	42	18
ENSG00000184007	hk_gene	3035	2323	2376	2290	1942	2064	3130	2444
ENSG00000121774	hk_gene	7638	5691	6157	6436	5898	6199	7170	6202
ENSG00000121775	non_hk_gene	634	625	924	751	752	667	1028	954
ENSG00000025800	hk_gene	4844	4715	5143	5308	4671	4532	5406	4984
ENSG00000084652	hk_gene	1508	1378	1904	1323	1691	1341	1965	1699
ENSG00000160050	hk_gene	2149	1694	2574	2290	1974	1811	1895	2215
ENSG00000160051	non_hk_gene	144	211	293	280	250	181	356	323
ENSG00000222046	hk_gene	3	0	6	1	1	2	5	0
ENSG00000160055	hk_gene	277	262	392	354	257	331	416	271
ENSG00000084623	hk_gene	17625	17502	21072	21346	20017	18260	21194	21572
ENSG00000183615	hk_gene	1	3	7	6	1	4	1	10
ENSG00000182866	hk_gene	1928	1446	1607	1716	1533	1886	1683	2126
ENSG00000116478	hk_gene	3986	3536	2973	6531	2356	2663	5469	6193
ENSG00000175130	hk_gene	11756	8667	12085	10880	10230	9297	11840	10924
ENSG00000162526	non_hk_gene	0	0	0	1	0	4	1	4
ENSG00000225828	non_hk_gene	5	5	3	4	5	7	5	6
ENSG00000160058	hk_gene	1344	1235	1677	1684	1373	1236	1859	1530
ENSG00000254553	non_hk_gene	9	12	27	32	22	15	30	48
ENSG00000273274	hk_gene	127	103	121	117	76	134	94	102
ENSG00000160062	non_hk_gene	338	375	536	439	460	398	659	482
ENSG00000176261	hk_gene	4106	2926	3606	4360	3284	3018	3326	4008
ENSG00000162521	hk_gene	8552	9712	11894	12689	11728	10162	8428	9769
ENSG00000162520	non_hk_gene	107	69	50	42	34	58	144	139
ENSG00000162522	hk_gene	1890	1220	1389	1920	1021	867	1313	1197
ENSG00000134684	hk_gene	6198	4815	6742	6478	5895	5686	6899	7394
ENSG00000116497	hk_gene	1746	1370	1713	1826	1471	1222	1200	1485
ENSG00000160097	non_hk_gene	4	18	29	8	7	14	14	10
ENSG00000121905	hk_gene	3	8	5	5	1	5	1	3
ENSG00000121900	hk_gene	65	40	55	55	34	37	39	66
ENSG00000116514	hk_gene	119	134	198	128	131	143	188	97
ENSG00000004455	hk_gene	4855	4010	6010	6275	5425	5086	6160	6317
ENSG00000142920	hk_gene	11	11	4	24	8	16	4	9
ENSG00000116525	hk_gene	206	181	154	140	99	121	105	110
ENSG00000160094	non_hk_gene	166	136	199	83	157	132	227	150
ENSG00000134686	hk_gene	155	120	324	95	170	124	302	259
ENSG00000121903	non_hk_gene	23	47	59	39	47	35	65	50
ENSG00000121904	hk_gene	296	218	369	194	227	188	254	206
ENSG00000142698	hk_gene	634	887	725	617	373	351	487	633
ENSG00000163866	hk_gene	1892	1605	2202	2288	1854	1840	2952	2421
ENSG00000189280	hk_gene	196	158	131	60	17	40	27	70
ENSG00000189433	hk_gene	6	14	8	15	6	6	0	4
ENSG00000188910	hk_gene	16	8	1	7	2	16	0	6
ENSG00000187513	non_hk_gene	22	17	14	40	31	23	16	35
ENSG00000116544	hk_gene	32	30	40	30	33	34	28	19
ENSG00000271741	hk_gene	21	28	30	48	19	19	16	15
ENSG00000243749	hk_gene	875	580	900	622	613	483	573	451
ENSG00000163867	non_hk_gene	234	276	261	335	284	218	284	272
ENSG00000197056	hk_gene	924	755	820	1115	717	791	1097	929
ENSG00000116560	hk_gene	9825	8371	9933	7619	8476	7523	8295	7336
ENSG00000146463	hk_gene	1423	1060	1297	1125	911	877	1068	1029
ENSG00000142687	hk_gene	1152	991	948	896	714	678	853	926
ENSG00000020129	non_hk_gene	439	588	705	454	516	405	835	519
ENSG00000116819	hk_gene	1	0	0	3	0	0	2	2
ENSG00000126067	hk_gene	16364	13914	17460	18919	14890	13473	19796	17154
ENSG00000142686	hk_gene	187	183	202	202	136	172	182	177
